"id","name","momentTZCode","character"
"dcfd9dd2-31cb-4592-b6ad-51abeb24b538","Pacific","America/Los_Angeles","P"
"ab80812e-2226-4ee1-bf8c-ec6956cc36d2","Mountain","America/Denver","M"
"dc7bde21-2dd4-4cd1-8561-a1499e6016d6","Central","America/Chicago","C"
"ac6ca55b-2604-44a6-83d6-7851917b57c6","Eastern","America/New_York","E"
